Stellaris	B-Method
coverslip	B-Location
.	O

This	O
creates	B-Action
a	O
working	B-Reagent
probe	I-Reagent
solution	I-Reagent
of	O
125	B-Amount
nM	I-Amount
.	O

This	O
solution	B-Reagent
will	O
be	O
used	O
in	O
the	O
steps	O
below	O
.	O

Immerse	B-Action
the	O
slide-mounted	B-Modifier
tissue	B-Reagent
section	I-Reagent
in	O
1X	B-Concentration
Wash	B-Reagent
Buffer	I-Reagent
1	I-Reagent
(	O
see	O
recipe	O
on	O
website	O
)	O
for	O
2-5	B-Time
minutes	I-Time
.	O

Assemble	B-Action
humidified	B-Device
chamber	I-Device
:	O
150	B-Size
mm	I-Size
tissue	B-Location
culture	I-Location
plate	I-Location
;	O
a	O
single	B-Location
water-saturated	I-Location
paper	I-Location
towel	I-Location
placed	B-Action
alongside	O
the	O
inner	B-Location
chamber	I-Location
edge	I-Location
.	O

Remove	B-Action
the	O
slide	B-Location
from	O
wash	B-Reagent
buffer	I-Reagent
,	O
and	O
carefully	B-Modifier
wipe	B-Action
away	O
excess	B-Modifier
buffer	B-Reagent
surrounding	B-Location
the	I-Location
tissue	I-Location
section	I-Location
.	O

Dispense	B-Action
100	B-Amount
L	I-Amount
of	O
Hybridization	B-Reagent
Buffer	I-Reagent
containing	I-Reagent
probe	I-Reagent
onto	O
the	O
tissue	B-Location
section	I-Location
of	O
the	O
slide	B-Location
.	O

Carefully	B-Modifier
place	B-Action
a	O
clean	B-Modifier
18	B-Size
mm	I-Size
square	B-Seal
coverglass	I-Seal
over	O
the	O
Hybridization	B-Reagent
Buffer	I-Reagent
containing	I-Reagent
probe	I-Reagent
to	O
completely	B-Modifier
cover	B-Action
the	O
tissue	B-Reagent
section	I-Reagent
,	O
and	O
allow	B-Action
for	O
even	B-Modifier
distribution	I-Modifier
of	O
the	O
solution	B-Reagent
.	O

Place	B-Action
the	O
slide	B-Location
in	O
the	O
humidified	B-Device
chamber	I-Device
,	O
cover	B-Action
with	O
the	O
tissue	B-Seal
culture	I-Seal
lid	I-Seal
,	O
and	O
seal	B-Action
with	O
Parafilm	B-Seal
.	O

Incubate	B-Action
in	O
the	O
dark	B-Location
at	O
37	B-Temperature
C	I-Temperature
for	O
at	B-Modifier
least	I-Modifier
4	B-Time
hours	I-Time
.	O

Immerse	B-Action
the	O
slide	B-Location
in	O
Wash	B-Reagent
Buffer	I-Reagent
1	I-Reagent
,	O
and	O
allow	B-Action
the	O
submerged	B-Modifier
coverglass	B-Location
to	O
slide	B-Action
off	I-Action
the	O
tissue	B-Reagent
section	I-Reagent
.	O

Incubate	B-Action
in	O
the	O
dark	O
at	O
37	B-Temperature
C	I-Temperature
for	O
30	B-Time
minutes	I-Time
.	O

Decant	B-Action
Wash	B-Reagent
Buffer	I-Reagent
1	I-Reagent
,	O
and	O
then	O
add	B-Action
DAPI	B-Reagent
nuclear	I-Reagent
stain	I-Reagent
(	O
1X	B-Concentration
Wash	B-Reagent
Buffer	I-Reagent
1	I-Reagent
consisting	O
of	O
5	B-Concentration
ng/mL	I-Concentration
DAPI	B-Reagent
)	O
to	O
counterstain	B-Action
the	O
nuclei	B-Reagent
.	O

Incubate	B-Action
in	O
the	O
dark	O
at	O
37	B-Temperature
C	I-Temperature
for	O
30	B-Time
minutes	I-Time
.	O

Decant	B-Action
the	O
DAPI	B-Reagent
staining	I-Reagent
buffer	I-Reagent
,	O
and	O
then	O
immerse	B-Action
slide	B-Location
in	O
Wash	B-Reagent
Buffer	I-Reagent
2	I-Reagent
for	O
2-5	B-Time
minutes	I-Time
.	O

Remove	B-Action
the	O
slide	B-Location
from	O
Wash	B-Reagent
Buffer	I-Reagent
2	I-Reagent
,	O
and	O
carefully	B-Modifier
wipe	B-Action
away	I-Action
excess	B-Modifier
buffer	B-Reagent
surrounding	O
the	O
tissue	B-Location
section	I-Location
.	O

Add	B-Action
a	O
small	B-Amount
drop	I-Amount
(	O
approximately	B-Modifier
15	B-Amount
L	I-Amount
)	O
of	O
Vectashield	B-Reagent
Mounting	I-Reagent
Medium	I-Reagent
onto	O
the	O
tissue	B-Location
section	I-Location
,	O
and	O
cover	B-Action
with	O
a	O
clean	B-Modifier
18	B-Size
mm	I-Size
square	B-Seal
#	I-Seal
1	I-Seal
coverglass	I-Seal
.	O

Gently	B-Modifier
squeeze	B-Action
out	O
excess	O
anti-fade	B-Reagent
from	O
underneath	O
the	O
coverglass	B-Location
.	O

Seal	B-Action
the	O
coverglass	B-Location
perimeter	I-Location
with	O
clear	B-Numerical
nailpolish	B-Reagent
,	O
and	O
allow	O
to	O
dry	B-Action
.	O

Proceed	B-Action
to	O
imaging	B-Action
.	O



